sample	mean_pairwise_difference_A	mean_pairwise_difference_B	mean_pairwise_difference_C	tajima_d_A	tajima_d_B	tajima_d_C	heterozygosity_observed_A	heterozygosity_observed_B	heterozygosity_observed_C	heterozygosity_expectedA	heterozygosity_expectedB	heterozygosity_expectedC	mean_pairwise_difference_between_A_B	mean_pairwise_difference_between_A_C	mean_pairwise_difference_between_B_A	mean_pairwise_difference_between_B_C	mean_pairwise_difference_between_C_A	mean_pairwise_difference_between_C_B	hudson_fst_A_B	hudson_fst_A_C	hudson_fst_B_A	hudson_fst_B_C	hudson_fst_C_A	hudson_fst_C_B
1_1407308513	0.11208248587570623	0.10747762711864407	0.11138293785310734	-0.7718249657344266	-0.31138709826465344	-0.6442561514875221	0.1112	0.10691333333333332	0.11127333333333334	0.11021444444444443	0.10568633333333334	0.10952655555555557	0.11237411111111112	0.11224866666666666	0.11237411111111112	0.11140500000000002	0.11224866666666666	0.11140500000000002	0.057484082862523544	0.05638231073446327	0.057484082862523544	0.056689858757062145	0.05638231073446327	0.056689858757062145
2_7287667365	0.08992056497175141	0.09115898305084745	0.0924006779661017	-0.7580977860963485	-0.8705469936341758	-1.0432312774456167	0.08979333333333334	0.09120666666666666	0.09233333333333332	0.08842188888888891	0.08963966666666667	0.09086066666666667	0.09422188888888888	0.09209733333333334	0.09422188888888888	0.09296811111111111	0.09209733333333334	0.09296811111111111	0.04895200188323917	0.046517022598870056	0.04895200188323917	0.047078195856873825	0.046517022598870056	0.047078195856873825
3_3294723043	0.1648031638418079	0.1680845197740113	0.16718090395480226	0.19979695927033908	-0.09624602861499938	0.059931030573017824	0.16528	0.1684	0.16754000000000002	0.16205644444444442	0.1652831111111111	0.16439455555555554	0.16872355555555554	0.16905444444444445	0.16872355555555554	0.16858866666666666	0.16905444444444445	0.16858866666666666	0.08550163465160075	0.0860584274952919	0.08550163465160075	0.08477231073446329	0.0860584274952919	0.08477231073446329
4_2882651978	0.0815832768361582	0.07897683615819209	0.07922338983050847	-1.263169547874531	-0.8670048195656717	-1.0826285616998377	0.08186666666666667	0.07903333333333333	0.07926	0.08022355555555558	0.07766055555555557	0.077903	0.0825937777777778	0.08200122222222223	0.0825937777777778	0.07932333333333333	0.08200122222222223	0.07932333333333333	0.04245374952919021	0.041799555555555555	0.04245374952919021	0.039773276836158195	0.041799555555555555	0.039773276836158195
5_8197529511	0.1491677966101695	0.14580045197740116	0.15117265536723165	0.15506261116489137	0.18487198112274417	-0.1136869417260114	0.14892666666666665	0.14553333333333332	0.15054666666666666	0.14668166666666665	0.14337044444444447	0.14865311111111112	0.16125511111111113	0.15054077777777777	0.16125511111111113	0.15916422222222223	0.15054077777777777	0.15916422222222223	0.08751304896421845	0.0754556647834275	0.08751304896421845	0.08492094538606404	0.0754556647834275	0.08492094538606404
6_1104695849	0.11755717514124295	0.12202192090395479	0.12097536723163842	-0.32951954307160725	-0.38617613215402885	-0.5789729163359695	0.11768666666666666	0.12244000000000001	0.12032000000000001	0.1155978888888889	0.11998822222222223	0.11895911111111113	0.12548766666666666	0.12046233333333334	0.12548766666666666	0.12366088888888889	0.12046233333333334	0.12366088888888889	0.06559289265536723	0.060829197740113	0.06559289265536723	0.0629115668549906	0.060829197740113	0.0629115668549906
7_595506309	0.17474135593220338	0.16435887005649719	0.17848790960451977	0.1856252179553344	0.8796108000543668	0.003997255935225486	0.17502	0.1638	0.17811999999999997	0.171829	0.16161955555555554	0.17551311111111112	0.18476944444444446	0.17858033333333334	0.18476944444444446	0.17877666666666667	0.17858033333333334	0.17877666666666667	0.0999943879472693	0.09027301694915255	0.0999943879472693	0.09306497175141243	0.09027301694915255	0.09306497175141243
8_2452620317	0.16073254237288137	0.16142621468926555	0.16349141242937854	0.18077040520512525	0.12519379299259153	-0.06204863942710713	0.1605	0.16094666666666668	0.16355333333333333	0.15805366666666668	0.15873577777777778	0.16076655555555555	0.16724688888888892	0.16297422222222221	0.16724688888888892	0.16617066666666666	0.16297422222222221	0.16617066666666666	0.08670719962335216	0.08191823352165725	0.08670719962335216	0.08494125988700564	0.08191823352165725	0.08494125988700564
9_545705001	0.12713152542372883	0.19357209039548023	0.1768954802259887	1.500767155015712	0.3658606395213237	0.11361316423498356	0.127	0.19308666666666668	0.17816666666666664	0.12501266666666666	0.1903458888888889	0.17394722222222223	0.2176017777777778	0.15935433333333335	0.2176017777777778	0.21016499999999996	0.15935433333333335	0.21016499999999996	0.13742587382297553	0.08334758192090397	0.13742587382297553	0.11754810734463277	0.08334758192090397	0.11754810734463277
10_7553176682	0.1838716384180791	0.04762372881355932	0.16620214689265536	-0.006559430481768124	1.642659473380693	-0.023773111753509588	0.18292000000000003	0.04781333333333333	0.16644666666666666	0.1808071111111111	0.04683	0.16343211111111114	0.1958403333333333	0.18769766666666668	0.1958403333333333	0.13791366666666668	0.18769766666666668	0.13791366666666668	0.13796649152542373	0.10017922033898305	0.13796649152542373	0.08445719774011298	0.10017922033898305	0.08445719774011298
11_6749123159	0.14623333333333335	0.14637875706214687	0.14822474576271188	0.042165182430704454	-0.19971942624528363	-0.1522019246130262	0.14615333333333333	0.14566666666666664	0.14745999999999998	0.14379611111111112	0.1439391111111111	0.14575433333333335	0.15110355555555557	0.14773955555555557	0.15110355555555557	0.15004233333333333	0.14773955555555557	0.15004233333333333	0.0779505329566855	0.07412503578154425	0.0779505329566855	0.07639145762711864	0.07412503578154425	0.07639145762711864
12_9348485872	0.16824519774011298	0.17898327683615822	0.1819728813559322	0.8399656670080526	0.2802937036711138	0.16359775214302494	0.16782666666666665	0.17832000000000003	0.18090666666666666	0.1654411111111111	0.17600022222222222	0.17894000000000002	0.18972966666666666	0.17825977777777777	0.18972966666666666	0.18637277777777778	0.17825977777777777	0.18637277777777778	0.10292254802259888	0.09070525800376647	0.10292254802259888	0.09613373822975517	0.09070525800376647	0.09613373822975517
13_6676509715	0.15385819209039547	0.16218497175141242	0.16281186440677967	0.40957517099822977	-0.1713465996851205	-0.18642170979720724	0.15444666666666668	0.16234	0.16288666666666668	0.1512938888888889	0.1594818888888889	0.16009833333333334	0.16316722222222224	0.16211877777777778	0.16316722222222224	0.16282722222222223	0.16211877777777778	0.16282722222222223	0.08415643126177023	0.082951263653484	0.08415643126177023	0.08157801318267419	0.082951263653484	0.08157801318267419
14_9658893729	0.12716485875706215	0.13202406779661016	0.13173604519774013	-0.04190637973116607	-0.41810453202991393	-0.467163166086696	0.12671333333333332	0.1319266666666667	0.13226666666666667	0.12504544444444446	0.12982366666666667	0.12954044444444443	0.1348646666666667	0.13097133333333333	0.1348646666666667	0.13324655555555556	0.13097133333333333	0.13324655555555556	0.07006743502824858	0.06624610734463277	0.07006743502824858	0.06730652730696798	0.06624610734463277	0.06730652730696798
15_3873242066	0.18096395480225988	0.13916802259887007	0.18824723163841808	0.5307200472706424	1.297896751991452	0.2768464919195888	0.18036666666666665	0.13920666666666667	0.18808	0.17794788888888888	0.13684855555555556	0.1851097777777778	0.22104955555555558	0.2028711111111111	0.22104955555555558	0.17731144444444444	0.2028711111111111	0.17731144444444444	0.14101656120527303	0.11056831450094162	0.14101656120527303	0.09545763088512241	0.11056831450094162	0.09545763088512241
16_5577077562	0.07898519774011299	0.06818248587570622	0.08037502824858758	-1.33648986649918	-0.5425095485455954	-1.479656812262747	0.07882	0.06838	0.08031333333333333	0.0776687777777778	0.06704611111111111	0.07903544444444445	0.08822811111111112	0.08473977777777779	0.08822811111111112	0.07734055555555555	0.08473977777777779	0.07734055555555555	0.05143619020715631	0.044899721280602635	0.05143619020715631	0.04020117702448211	0.044899721280602635	0.04020117702448211
17_3416268114	0.15394259887005649	0.18392610169491527	0.16456011299435028	1.1734262008242133	0.09667243906978758	0.43058553089643536	0.15418666666666667	0.18429333333333334	0.16619333333333333	0.15137688888888887	0.18086066666666667	0.16181744444444443	0.19371100000000002	0.15999133333333335	0.19371100000000002	0.19241288888888888	0.15999133333333335	0.19241288888888888	0.10924382485875705	0.08036565536723164	0.10924382485875705	0.1052913352165725	0.08036565536723164	0.1052913352165725
18_9676781840	0.11148621468926553	0.11092214689265538	0.11235909604519775	-0.5601391365634556	-0.511490380055461	-0.7217769262821947	0.11114	0.11134000000000001	0.11250666666666666	0.10962811111111112	0.10907344444444446	0.11048644444444444	0.11445233333333335	0.1133141111111111	0.11445233333333335	0.11220666666666668	0.1133141111111111	0.11220666666666668	0.05885024293785311	0.05735278342749529	0.05885024293785311	0.056386355932203376	0.05735278342749529	0.056386355932203376
19_5486100226	0.18290508474576272	0.08170305084745763	0.1817110734463277	-0.016246207038419974	2.1006220310227794	0.0015082703993270293	0.18250666666666665	0.08202666666666666	0.18160666666666667	0.1798566666666667	0.08034133333333333	0.17868255555555557	0.18197222222222223	0.18316755555555556	0.18197222222222223	0.17108333333333334	0.18316755555555556	0.17108333333333334	0.11582018832391713	0.09201351600753295	0.11582018832391713	0.105229802259887	0.09201351600753295	0.105229802259887
